"Time","condition","n","mean","median","sd","sem","mean_CI_lo","mean_CI_hi"
225.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.814492753623188,0.75,0.223366858829121,0.0268902098512323,0.760834175305426,0.868151331940951
230.36,"2018-10-30_PC3_WT-TG",38,0.909210526315789,0.85,0.216212877819178,0.0350743603065989,0.838143121816991,0.980277930814588
230.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.784347826086957,0.72,0.211864817200175,0.0255055267575036,0.733452339862606,0.835243312311307
235.36,"2018-10-30_PC3_WT-TG",38,1.05236842105263,0.9,0.329146596851709,0.0533946287016383,0.944180626811134,1.16055621529413
235.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.815507246376812,0.75,0.217171227050184,0.0261443434341197,0.763337021321394,0.867677471432229
240.36,"2018-10-30_PC3_WT-TG",38,0.935526315789474,0.83,0.264081246388622,0.0428396350831452,0.848724970065087,1.02232766151386
240.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.812463768115942,0.74,0.214334852077314,0.0258028840133397,0.760974914726035,0.863952621505849
245.36,"2018-10-30_PC3_WT-TG",38,0.831842105263158,0.78,0.173825872225361,0.0281982800216924,0.77470696281282,0.888977247713495
245.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.77536231884058,0.72,0.202858830297914,0.0244213333413957,0.726630306893733,0.824094330787427
250.36,"2018-10-30_PC3_WT-TG",38,0.877631578947368,0.82,0.21633850115947,0.0350947391033884,0.80652288308411,0.948740274810627
250.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.777101449275362,0.72,0.198606183255407,0.0239093747993108,0.729391034693426,0.824811863857299
255.36,"2018-10-30_PC3_WT-TG",38,0.790263157894737,0.755,0.162505498320373,0.0263618728790937,0.736848929755786,0.843677386033688
255.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.761594202898551,0.71,0.191715346499821,0.0230798155380148,0.71553914804931,0.807649257747791
260.36,"2018-10-30_PC3_WT-TG",38,0.923684210526316,0.845,0.226052147208267,0.0366705005697854,0.849382718656312,0.99798570239632
260.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.756231884057971,0.71,0.182580372707114,0.0219800939250636,0.712371289520597,0.800092478595345
265.36,"2018-10-30_PC3_WT-TG",38,0.843947368421053,0.79,0.186279932819577,0.0302185954301347,0.782718678117188,0.905176058724917
265.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.767246376811594,0.71,0.182828142205372,0.02200992186748,0.72332626154184,0.811166492081349
270.36,"2018-10-30_PC3_WT-TG",38,0.748684210526316,0.71,0.175378679906014,0.0284501786903907,0.691038672892015,0.806329748160617
270.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.72768115942029,0.68,0.175055830821251,0.0210742455310543,0.685628157209747,0.769734161630833
275.36,"2018-10-30_PC3_WT-TG",38,0.7,0.68,0.134123783085585,0.0217577506995778,0.655914609520049,0.744085390479951
275.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.733188405797101,0.69,0.169310824100869,0.0203826279960377,0.692515504890116,0.773861306704087
280.36,"2018-10-30_PC3_WT-TG",38,0.763684210526316,0.705,0.174238436393717,0.0282652067673908,0.706413461608269,0.820954959444362
280.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.718695652173913,0.67,0.165155123546802,0.0198823404396674,0.679021059542446,0.758370244805381
285.36,"2018-10-30_PC3_WT-TG",38,0.747105263157895,0.705,0.166049616400297,0.0269368047506741,0.692526112393992,0.801684413921797
285.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.692898550724638,0.64,0.156788556091949,0.0188751240792152,0.65523382704768,0.730563274401595
290.36,"2018-10-30_PC3_WT-TG",38,0.804473684210526,0.735,0.230213735805723,0.0373455993862263,0.72880431220685,0.880143056214203
290.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.703913043478261,0.65,0.156855285415123,0.0188831573457115,0.666232289667593,0.741593797288929
295.36,"2018-10-30_PC3_WT-TG",38,0.723421052631579,0.68,0.153557389849009,0.0249102980064367,0.672947994559128,0.77389411070403
295.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.684492753623188,0.64,0.151099268420817,0.0181902143294757,0.64819474607267,0.720790761173707
300.36,"2018-10-30_PC3_WT-TG",38,0.892105263157895,0.82,0.260728272083106,0.0422957108262897,0.806406012663208,0.977804513652581
300.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.688115942028986,0.64,0.15230846566328,0.0183357845710585,0.651527453584048,0.724704430473924
305.36,"2018-10-30_PC3_WT-TG",38,0.716315789473684,0.675,0.146350579692692,0.0237411990210594,0.66821155095394,0.764420027993429
305.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.654057971014493,0.61,0.143438025565662,0.0172679090726606,0.619600394949243,0.688515547079742
310.36,"2018-10-30_PC3_WT-TG",38,0.728421052631579,0.68,0.167114240190768,0.027109509534934,0.67349196873548,0.783350136527678
310.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.677246376811594,0.63,0.141679880031701,0.0170562532227057,0.643211153419085,0.711281600204104
315.36,"2018-10-30_PC3_WT-TG",38,0.814210526315789,0.73,0.246221517260124,0.0399424044429099,0.733279527478305,0.895141525153274
315.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.679130434782609,0.64,0.136022696315885,0.0163752083350143,0.646454215304397,0.711806654260821
320.36,"2018-10-30_PC3_WT-TG",38,0.638421052631579,0.62,0.104636470201165,0.0169742768981397,0.604027900715199,0.672814204547959
320.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.676376811594203,0.64,0.131406095015915,0.0158194348491605,0.644809620839925,0.707944002348481
325.36,"2018-10-30_PC3_WT-TG",38,0.698421052631579,0.65,0.164785303657713,0.0267317061408185,0.644257471125144,0.752584634138014
325.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.660434782608696,0.63,0.122923156084565,0.0147982090092355,0.630905416289961,0.68996414892743
330.36,"2018-10-30_PC3_WT-TG",38,0.718947368421053,0.67,0.189091561886488,0.0306747018930616,0.656794518639667,0.781100218202439
330.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.633768115942029,0.6,0.119571556834186,0.0143947238742771,0.605043891674398,0.66249234020966
335.36,"2018-10-30_PC3_WT-TG",38,0.667631578947368,0.63,0.141372312946028,0.0229336175146476,0.621163655989197,0.71409950190554
335.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.640724637681159,0.61,0.11673649110131,0.0140534220674705,0.612681470565251,0.668767804797067
340.36,"2018-10-30_PC3_WT-TG",38,0.628684210526316,0.595,0.128213737355469,0.0207990146822905,0.586541403738627,0.670827017314005
340.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.615217391304348,0.58,0.109794041085118,0.0132176492997659,0.58884198278013,0.641592799828566
345.36,"2018-10-30_PC3_WT-TG",38,0.668421052631579,0.615,0.172384333579728,0.0279644315739829,0.611759732143482,0.725082373119676
345.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.642753623188406,0.61,0.109569801254605,0.0131906539964738,0.616432082953202,0.66907516342361
350.36,"2018-10-30_PC3_WT-TG",38,0.70421052631579,0.655,0.167002695866691,0.0270914146561632,0.649318106126675,0.759102946504904
350.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.596521739130435,0.57,0.10486442349328,0.0126241930805859,0.571330554053754,0.621712924207116
355.36,"2018-10-30_PC3_WT-TG",38,0.699473684210526,0.64,0.180583848435538,0.0292945685264753,0.640117250254492,0.75883011816656
355.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.592028985507246,0.56,0.10266421150506,0.0123593186834145,0.567366349060852,0.61669162195364
360.36,"2018-10-30_PC3_WT-TG",38,0.737631578947368,0.65,0.213863232508679,0.0346931975051766,0.667336483643999,0.807926674250737
360.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.60231884057971,0.57,0.102299228441922,0.0123153798859967,0.577743882638448,0.626893798520973
